@sprites

texture bullet/bullet.png

# name	x	y	w	h	ax	ay
laser_gray	0	0	16	16	8	8
laser_darkred	16	0	16	16	8	8
laser_lightred	32	0	16	16	8	8
laser_darkpink	48	0	16	16	8	8
laser_lightpink	64	0	16	16	8	8
laser_darkblue	80	0	16	16	8	8
laser_lightblue	96	0	16	16	8	8
laser_darkcyan	112	0	16	16	8	8
laser_lightcyan	128	0	16	16	8	8
laser_darkgreen	144	0	16	16	8	8
laser_lightgreen	160	0	16	16	8	8
laser_lime	176	0	16	16	8	8
laser_darkyellow	192	0	16	16	8	8
laser_lightyellow	208	0	16	16	8	8
laser_orange	224	0	16	16	8	8
laser_white	240	0	16	16	8	8
scale_gray	256	0	16	16	8	8
scale_darkred	272	0	16	16	8	8
scale_lightred	288	0	16	16	8	8
scale_darkpink	304	0	16	16	8	8
scale_lightpink	320	0	16	16	8	8
scale_darkblue	336	0	16	16	8	8
scale_lightblue	352	0	16	16	8	8
scale_darkcyan	368	0	16	16	8	8
scale_lightcyan	384	0	16	16	8	8
scale_darkgreen	400	0	16	16	8	8
scale_lightgreen	416	0	16	16	8	8
scale_lime	432	0	16	16	8	8
scale_darkyellow	448	0	16	16	8	8
scale_lightyellow	464	0	16	16	8	8
scale_orange	480	0	16	16	8	8
scale_white	496	0	16	16	8	8
ring_gray	512	0	16	16	8	8
ring_darkred	528	0	16	16	8	8
ring_lightred	544	0	16	16	8	8
ring_darkpink	560	0	16	16	8	8
ring_lightpink	576	0	16	16	8	8
ring_darkblue	592	0	16	16	8	8
ring_lightblue	608	0	16	16	8	8
ring_darkcyan	624	0	16	16	8	8
ring_lightcyan	640	0	16	16	8	8
ring_darkgreen	656	0	16	16	8	8
ring_lightgreen	672	0	16	16	8	8
ring_lime	688	0	16	16	8	8
ring_darkyellow	704	0	16	16	8	8
ring_lightyellow	720	0	16	16	8	8
ring_orange	736	0	16	16	8	8
ring_white	752	0	16	16	8	8
smallball_gray	768	0	16	16	8	8
smallball_darkred	784	0	16	16	8	8
smallball_lightred	800	0	16	16	8	8
smallball_darkpink	816	0	16	16	8	8
smallball_lightpink	832	0	16	16	8	8
smallball_darkblue	848	0	16	16	8	8
smallball_lightblue	864	0	16	16	8	8
smallball_darkcyan	880	0	16	16	8	8
smallball_lightcyan	896	0	16	16	8	8
smallball_darkgreen	912	0	16	16	8	8
smallball_lightgreen	928	0	16	16	8	8
smallball_lime	944	0	16	16	8	8
smallball_darkyellow	960	0	16	16	8	8
smallball_lightyellow	976	0	16	16	8	8
smallball_orange	992	0	16	16	8	8
smallball_white	1008	0	16	16	8	8
rice_gray	0	16	16	16	8	8
rice_darkred	16	16	16	16	8	8
rice_lightred	32	16	16	16	8	8
rice_darkpink	48	16	16	16	8	8
rice_lightpink	64	16	16	16	8	8
rice_darkblue	80	16	16	16	8	8
rice_lightblue	96	16	16	16	8	8
rice_darkcyan	112	16	16	16	8	8
rice_lightcyan	128	16	16	16	8	8
rice_darkgreen	144	16	16	16	8	8
rice_lightgreen	160	16	16	16	8	8
rice_lime	176	16	16	16	8	8
rice_darkyellow	192	16	16	16	8	8
rice_lightyellow	208	16	16	16	8	8
rice_orange	224	16	16	16	8	8
rice_white	240	16	16	16	8	8
kunai_gray	256	16	16	16	8	8
kunai_darkred	272	16	16	16	8	8
kunai_lightred	288	16	16	16	8	8
kunai_darkpink	304	16	16	16	8	8
kunai_lightpink	320	16	16	16	8	8
kunai_darkblue	336	16	16	16	8	8
kunai_lightblue	352	16	16	16	8	8
kunai_darkcyan	368	16	16	16	8	8
kunai_lightcyan	384	16	16	16	8	8
kunai_darkgreen	400	16	16	16	8	8
kunai_lightgreen	416	16	16	16	8	8
kunai_lime	432	16	16	16	8	8
kunai_darkyellow	448	16	16	16	8	8
kunai_lightyellow	464	16	16	16	8	8
kunai_orange	480	16	16	16	8	8
kunai_white	496	16	16	16	8	8
needle_gray	512	16	16	16	8	8
needle_darkred	528	16	16	16	8	8
needle_lightred	544	16	16	16	8	8
needle_darkpink	560	16	16	16	8	8
needle_lightpink	576	16	16	16	8	8
needle_darkblue	592	16	16	16	8	8
needle_lightblue	608	16	16	16	8	8
needle_darkcyan	624	16	16	16	8	8
needle_lightcyan	640	16	16	16	8	8
needle_darkgreen	656	16	16	16	8	8
needle_lightgreen	672	16	16	16	8	8
needle_lime	688	16	16	16	8	8
needle_darkyellow	704	16	16	16	8	8
needle_lightyellow	720	16	16	16	8	8
needle_orange	736	16	16	16	8	8
needle_white	752	16	16	16	8	8
tailsman_gray	768	16	16	16	8	8
tailsman_darkred	784	16	16	16	8	8
tailsman_lightred	800	16	16	16	8	8
tailsman_darkpink	816	16	16	16	8	8
tailsman_lightpink	832	16	16	16	8	8
tailsman_darkblue	848	16	16	16	8	8
tailsman_lightblue	864	16	16	16	8	8
tailsman_darkcyan	880	16	16	16	8	8
tailsman_lightcyan	896	16	16	16	8	8
