@sprites

texture bullet/laser1.png

# name					x	y	w	h	ax	ay
curvelaser_gray			0	0	256	16	128	8
curvelaser_darkred		0	16	256	16	128	8
curvelaser_lightred		0	32	256	16	128	8
curvelaser_darkpink		0	48	256	16	128	8
curvelaser_lightpink	0	64	256	16	128	8
curvelaser_darkblue		0	80	256	16	128	8
curvelaser_lightblue	0	96	256	16	128	8
curvelaser_darkcyan		0	112	256	16	128	8
curvelaser_lightcyan	0	128	256	16	128	8
curvelaser_darkgreen	0	144	256	16	128	8
curvelaser_lightgreen	0	160	256	16	128	8
curvelaser_lime			0	176	256	16	128	8
curvelaser_darkyellow	0	192	256	16	128	8
curvelaser_lightyellow	0	208	256	16	128	8
curvelaser_orange		0	224	256	16	128	8
curvelaser_white		0	240	256	16	128	8
